B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.5,0.9,5,0.0,20,50000,0.0787422
0.01,1.5,0.9,5,0.0,30,50000,0.0677075
0.01,1.5,0.9,5,0.0,40,50000,0.0665253
0.01,1.5,0.9,5,0.0,50,50000,0.143349
0.01,1.5,0.9,5,0.0,60,50000,0.133934
0.01,1.5,2.5,-5,-0.5,10,50000,0.296965
0.01,1.5,2.5,-5,-0.5,20,50000,0.157627
0.01,1.5,2.5,-5,-0.5,30,50000,0.113863
0.01,1.5,2.5,-5,-0.5,40,50000,0.0917221
0.01,1.5,2.5,-5,-0.5,50,50000,0.0802022
0.01,1.5,2.5,-5,-0.5,60,50000,0.0740687
0.01,1.5,2.5,-5,0.5,10,50000,0.302253
0.01,1.5,2.5,-5,0.5,20,50000,0.175512
0.01,1.5,2.5,-5,0.5,30,50000,0.143104
0.01,1.5,2.5,-5,0.5,40,50000,0.134364
0.01,1.5,2.5,-5,0.5,50,50000,0.134953
0.01,1.5,2.5,-5,0.5,60,50000,0.138214
0.01,1.5,2.5,-5,0.0,10,50000,0.299004
0.01,1.5,2.5,-5,0.0,20,50000,0.159278
0.01,1.5,2.5,-5,0.0,30,50000,0.112231
0.01,1.5,2.5,-5,0.0,40,50000,0.0875898
0.01,1.5,2.5,-5,0.0,50,50000,0.0736795
0.01,1.5,2.5,-5,0.0,60,50000,0.0654706
0.01,1.5,2.5,0,-0.5,10,50000,0.289089
0.01,1.5,2.5,0,-0.5,20,50000,0.160395
0.01,1.5,2.5,0,-0.5,30,50000,0.113558
0.01,1.5,2.5,0,-0.5,40,50000,0.0914553
0.01,1.5,2.5,0,-0.5,50,50000,0.0799754
0.01,1.5,2.5,0,-0.5,60,50000,0.0738113
0.01,1.5,2.5,0,0.5,10,50000,0.294875
0.01,1.5,2.5,0,0.5,20,50000,0.176877
0.01,1.5,2.5,0,0.5,30,50000,0.142568
0.01,1.5,2.5,0,0.5,40,50000,0.133696
0.01,1.5,2.5,0,0.5,50,50000,0.134294
0.01,1.5,2.5,0,0.5,60,50000,0.137771
0.01,1.5,2.5,0,0.0,10,50000,0.291408
0.01,1.5,2.5,0,0.0,20,50000,0.161209
0.01,1.5,2.5,0,0.0,30,50000,0.111972
0.01,1.5,2.5,0,0.0,40,50000,0.0873573
0.01,1.5,2.5,0,0.0,50,50000,0.0734441
0.01,1.5,2.5,0,0.0,60,50000,0.0652336
0.01,1.5,2.5,5,-0.5,10,50000,0.297259
0.01,1.5,2.5,5,-0.5,20,50000,0.158457
0.01,1.5,2.5,5,-0.5,30,50000,0.114537
0.01,1.5,2.5,5,-0.5,40,50000,0.0924823
0.01,1.5,2.5,5,-0.5,50,50000,0.0810216
0.01,1.5,2.5,5,-0.5,60,50000,0.0749522
0.01,1.5,2.5,5,0.5,10,50000,0.302277
0.01,1.5,2.5,5,0.5,20,50000,0.175254
0.01,1.5,2.5,5,0.5,30,50000,0.142642
0.01,1.5,2.5,5,0.5,40,50000,0.133617
0.01,1.5,2.5,5,0.5,50,50000,0.134036
0.01,1.5,2.5,5,0.5,60,50000,0.137251
0.01,1.5,2.5,5,0.0,10,50000,0.299272
0.01,1.5,2.5,5,0.0,20,50000,0.159475
0.01,1.5,2.5,5,0.0,30,50000,0.112357
0.01,1.5,2.5,5,0.0,40,50000,0.087707
0.01,1.5,2.5,5,0.0,50,50000,0.0738195
