    dirname, B4TOD4, B5TOB4, R45TOB4, OMEGA5, GAMMAU, ALPHA4, RE, pt_loss
    "ubend_0.02_1.06_1.67_-7.2_-0.72_47.13_225205.78_0.5",   0.02,   1.06,   1.67,   -7.2,   -0.72,   47.13,   225205,   0.052148
    "ubend_0.02_1.06_4.07_-10.07_0.71_42.98_189191.12_0.5",   0.02,   1.06,   4.07,   -10.07,   0.71,   42.98,   189191,   0.186539
    "ubend_0.02_1.07_4.41_9.53_0.06_31.62_406876.42_0.5",   0.02,   1.07,   4.41,   9.53,   0.06,   31.62,   406876,   0.132893
    "ubend_0.02_1.08_4.83_0.67_0.9_10.04_394908.62_0.5",   0.02,   1.08,   4.83,   0.67,   0.9,   10.04,   394908,   0.348248
    "ubend_0.02_1.0_4.49_7.61_0.35_48.5_220082.15_0.5",   0.02,   1,   4.49,   7.61,   0.35,   48.5,   220082,   0.145209
    "ubend_0.02_1.11_2.17_8.51_0.13_57.42_262019.79_0.5",   0.02,   1.11,   2.17,   8.51,   0.13,   57.42,   262019,   0.0673922
    "ubend_0.02_1.12_2.01_14.54_0.32_55.07_228598.22_0.5",   0.02,   1.12,   2.01,   14.54,   0.32,   55.07,   228598,   0.0866602
    "ubend_0.02_1.14_1.69_-12.21_0.28_38.93_184438.6_0.5",   0.02,   1.14,   1.69,   -12.21,   0.28,   38.93,   184438,   0.0822123
    "ubend_0.02_1.14_4.16_-11.47_-0.57_51.13_455744.25_0.5",   0.02,   1.14,   4.16,   -11.47,   -0.57,   51.13,   455744,   0.107789
    "ubend_0.02_1.15_1.65_13.8_-0.1_58.29_175928.27_0.5",   0.02,   1.15,   1.65,   13.8,   -0.1,   58.29,   175928,   0.0492093
    "ubend_0.02_1.15_3.62_-9.96_0.78_21.86_207177.82_0.5",   0.02,   1.15,   3.62,   -9.96,   0.78,   21.86,   207177,   0.198834
    "ubend_0.02_1.15_3.69_7.19_0.62_32.53_400606.33_0.5",   0.02,   1.15,   3.69,   7.19,   0.62,   32.53,   400606,   0.153437
    "ubend_0.02_1.16_2.46_0.93_0.96_10.71_423070.16_0.5",   0.02,   1.16,   2.46,   0.93,   0.96,   10.71,   423070,   0.215732
    "ubend_0.02_1.16_3.33_-6.63_0.62_20.06_139243.08_0.5",   0.02,   1.16,   3.33,   -6.63,   0.62,   20.06,   139243,   0.198081
    "ubend_0.02_1.17_3.99_14.89_0.6_27.88_432850.49_0.5",   0.02,   1.17,   3.99,   14.89,   0.6,   27.88,   432850,   0.153029
    "ubend_0.02_1.18_2.29_-8.69_0.72_40.61_405872.71_0.5",   0.02,   1.18,   2.29,   -8.69,   0.72,   40.61,   405872,   0.142803
    "ubend_0.02_1.22_2.57_-13.96_-0.28_30.39_305455.17_0.5",   0.02,   1.22,   2.57,   -13.96,   -0.28,   30.39,   305455,   -0.0484329
    "ubend_0.02_1.22_3.71_2.34_-0.91_32.16_202387.51_0.5",   0.02,   1.22,   3.71,   2.34,   -0.91,   32.16,   202387,   0.15103
    "ubend_0.02_1.22_4.13_1.5_0.07_59.5_101435.54_0.5",   0.02,   1.22,   4.13,   1.5,   0.07,   59.5,   101435,   0.0968037
    "ubend_0.02_1.23_1.68_-5.82_0.22_43.95_274115.68_0.5",   0.02,   1.23,   1.68,   -5.82,   0.22,   43.95,   274115,   0.0689834
    "ubend_0.02_1.24_1.45_1.76_-0.97_54.93_308265.2_0.5",   0.02,   1.24,   1.45,   1.76,   -0.97,   54.93,   308265,   0.0511754
    "ubend_0.02_1.24_3.18_9.83_-0.63_29.4_186650.9_0.5",   0.02,   1.24,   3.18,   9.83,   -0.63,   29.4,   186650,   0.117665
    "ubend_0.02_1.26_3.7_-4.68_-0.9_39.61_357470.87_0.5",   0.02,   1.26,   3.7,   -4.68,   -0.9,   39.61,   357470,   0.136779
    "ubend_0.02_1.28_2.54_10.66_0.84_38.42_433969.19_0.5",   0.02,   1.28,   2.54,   10.66,   0.84,   38.42,   433969,   0.164703
    "ubend_0.02_1.28_4.82_-10.26_0.36_46.74_379093.29_0.5",   0.02,   1.28,   4.82,   -10.26,   0.36,   46.74,   379093,   0.133286
    "ubend_0.02_1.29_2.44_-3.64_0.95_28.37_219736.22_0.5",   0.02,   1.29,   2.44,   -3.64,   0.95,   28.37,   219736,   0.169124
    "ubend_0.02_1.29_3.34_-2.2_0.13_15.05_394570.55_0.5",   0.02,   1.29,   3.34,   -2.2,   0.13,   15.05,   394570,   0.193731
    "ubend_0.02_1.29_3.53_-4.63_0.84_58.62_485182.27_0.5",   0.02,   1.29,   3.53,   -4.63,   0.84,   58.62,   485182,   0.219832
    "ubend_0.02_1.2_1.43_13.89_0.83_14.45_109228.38_0.5",   0.02,   1.2,   1.43,   13.89,   0.83,   14.45,   109228,   -0.0795485
    "ubend_0.02_1.2_2.87_6.53_0.99_36.04_268635.83_0.5",   0.02,   1.2,   2.87,   6.53,   0.99,   36.04,   268635,   0.192914
    "ubend_0.02_1.2_3.99_7.92_0.99_21.59_480274.83_0.5",   0.02,   1.2,   3.99,   7.92,   0.99,   21.59,   480274,   0.19567
    "ubend_0.02_1.2_4.08_13.41_0.79_43.19_454462.72_0.5",   0.02,   1.2,   4.08,   13.41,   0.79,   43.19,   454462,   0.187006
    "ubend_0.02_1.31_2.43_-6.9_-0.53_59.02_142438.44_0.5",   0.02,   1.31,   2.43,   -6.9,   -0.53,   59.02,   142438,   0.064434
